"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
9,"California",1,5.02793296089385,4.88400488400489,4.97076023391813,5.12820512820513,5.01319261213721,4.99994293978141,4.91159135559921,4.74678520400064,4.60416593518486,4.56988694758479,4.52337583485124,4.44444444444444,4.44444444444444,4.49438202247191,4.62280586290466,4.78696741854636,4.55235204855842,4.44444444444444,4.41587780803942,4.41767068273092,4.30303030303031,4.34858236214994,4.20210105052526,4.13793103448276,4.11288343558283,4.13333333333333,4.08326661329064,4.4543429844098,4.29184549356223,4.19664268585132,4.19727178208358,4.02000384689364,4.07999999999999,3.86100386100386,3.69435525744137,3.42844611528822,3.39069257331693,3.39397808277476,3.33444481493831,3.44827586206896,3.33333333333333,3.22627478266271,3.17172397922283,3.1325072114565,3.125,3.08972042278996,3.04182509505704,2.94985250737463,3,3.03122158229766,3.03951367781155,3.15898604724434,3.12695434646654,3.0354549191437,3.0363048704878,3.13479623824452,3.08747855917667,3.07692307692308,3.00387984981226,2.93577981651376,2.94550810014728,3.00375469336671,3.03030303030303,3.10309278350516,3.07692307692308,2.98507462686567,3.03214069132808,2.97339593114241,3.00001500015,2.92275574112735,2.86532951289399,2.78551532033426,2.85734014334357,2.86532951289399,2.85947491905983,2.77777777777778,2.85714285714286,2.85714285714286,2.81711567977908,2.78551532033426,2.83185840707965,2.77777777777778,2.75793372010603,2.67857142857143,2.66666666666666,2.63504611330698,2.5974025974026,2.59067357512953,2.70176372193037,2.66023114809019
54,"Texas",2,4.00801603206413,3.96825396825397,3.87570075909981,4.15525114155251,4.008,4.01606425702812,3.84810126582279,3.70370370370371,3.55212355212355,3.52332170256163,3.47826086956522,3.59712230215827,3.6697247706422,3.72372246036723,3.77899629379018,4.095158663966,3.88932103567063,3.73493975903615,3.51724137931034,3.44827586206896,3.3587786259542,3.33444481493831,3.33444481493831,3.38289962825279,3.41463414634147,3.44769626500606,3.58620689655172,3.66325217071486,3.68421052631579,3.33889816360601,3.28012089603041,3.20534223706177,3.25705071415286,3.14031180400891,3.15928041046524,3.16420754964482,3.13602557010265,3.2258064516129,3.24324324324324,3.41880341880342,3.38429775650331,3.22736816536957,3.12695434646654,3.11517576450414,3.04143702796489,3.03214069132808,3.03214069132808,3.03214069132808,3.07810696421701,3.12539067383423,3.07692307692308,3.26884589726484,3.24253706255097,3.16333118140736,3.0778701138812,3.08988764044944,3.03030303030303,3.0178216331565,2.97339593114241,3.00018751593902,3.06803836016921,3.03122158229766,2.98507462686567,3.0765254420537,3.06748466257669,3.07048430261038,3.02861906085024,2.89512191358594,2.89855072463768,2.85714285714286,2.78551532033426,2.85714285714286,2.85504870399342,2.85714285714286,2.78551532033426,2.85730613177896,2.85714285714286,2.79658573253215,2.77779320996228,2.68415440226978,2.66737796745798,2.6323132248718,2.59986521312326,2.61096605744126,2.56410256410257,2.63157894736842,2.55445013254343,2.61286484224041,2.67162762766456,2.66634222114074
43,"New York",3,4.54545454545454,4.41176470588235,4.37158469945356,4.76226190476191,4.55988845076269,4.4543429844098,4.30851063829787,4.16586804890041,4.1095890410959,4.17014178482068,4.31034482758621,4.21052631578948,4.375,4.3535856763451,4.40191387559809,4.69973890339426,4.4124136856861,4.38914442216718,4.15853727569485,4.03853278992219,4.04161664665866,4.1095890410959,4.0985846221105,4.08997955010225,4.11232876712329,4.14847161572053,4.16753490310481,4.55007616730225,4.25531914893616,4.08460237923656,4.08163265306123,4.00320256204964,4.00320256204964,4.000800160032,4.00320256204964,4.00801603206413,4.04817357935005,4.01606425702812,4.03225806451613,4.35161009573543,4.16,4.17536534446764,3.94736842105263,3.84911470361817,3.86100386100386,3.86298287285911,3.87096774193548,4.00320256204964,4.0016006402561,4.07992326393861,4.03846153846153,4.34782608695652,4.05090280964077,4.15704387990762,3.94788794835206,3.904,4.00004266679467,3.90044589978665,3.95197598799399,4.0016006402561,4.0724946695096,4.066418630288,4.12087912087912,4.52809601745772,4.25531914893616,4.12888024329434,4.01606425702812,3.97379912663756,3.91025641025641,3.9621552835753,4.0016006402561,4.00801603206413,4.07106783710873,4.1681139485622,4.07999999999999,4.44015444015444,4.25440463656999,4.10132689987938,4.01606425702812,4.0016006402561,4.0016006402561,4,4.00093355560949,4.00320256204964,4.00667779632721,3.98658733239168,4.04040404040404,4.26439232409381,4.13793103448276,4.04040404040404
14,"Florida",4,6.66666666666667,6.06060606060606,5.91715976331361,6.21707060063225,6.11353711790393,5.91715976331361,5.80952380952381,5.62471302067926,5.58659217877095,5.63380281690141,5.58659217877095,5.40540540540541,5.47368421052632,5.38876058506543,5.40686672073534,5.43251400293654,5.21327014218009,5.069173147676,5.08474576271186,5,5,4.91803278688525,4.77777777777778,4.76947535771065,4.76190476190477,4.7621126319756,4.7628345535204,5.00056256406988,4.82539682539682,4.65116279069767,4.41176470588235,4.52828987774793,4.4543429844098,4.34858236214994,4.43478260869565,4.37361008154188,4.34782608695652,4.30622009569378,4.54545454545454,4.96598639455782,4.60674157303371,4.34971726837755,4.11522633744856,4.04040404040404,4.00160000000001,3.91061452513967,3.87096774193548,3.84763370527126,3.77777777777778,3.85094823510267,3.80753138075314,4.13793103448276,3.85858737323769,3.70644922164566,3.5778175313059,3.56211759724431,3.51493848857645,3.42995169082125,3.43347639484979,3.36134453781513,3.34346504559271,3.33407423871972,3.33555703802535,3.56619956698372,3.35483870967742,3.33444481493831,3.23624595469255,3.15151515151515,3.05971247030514,3.04153908961012,2.93203883495146,2.94290759270159,2.91428571428571,2.95178747130207,3.00143403664968,3.07692307692308,3.03122158229766,3.003003003003,2.94117647058824,2.86532951289399,2.81081081081082,2.77427490542245,2.75675675675676,2.71342981786939,2.77932184546971,2.78260869565218,2.71002710027101,2.78658387831814,2.81769512538743,2.77932184546971
21,"Illinois",5,4.76190476190477,4.57107561987117,4.76190476190477,5.09059534081104,5.26315789473685,5,4.77290223248653,4.44444444444444,4.25531914893616,4.34782608695652,4.3728385466497,4.45859872611465,4.44444444444444,4.62249614791987,4.95743615423134,5.12820512820513,5,4.72972972972973,4.36924862811313,4.34971726837755,4.34782608695652,4.25985090521832,4.35161009573543,4.41176470588235,4.44444444444444,4.49539222297145,4.6527859184844,5.26315789473685,4.95238095238095,4.76190476190477,4.54545454545454,4.31965442764579,4.17014178482068,4.03877221324718,4.01606425702812,4.00667779632721,4.01574803149606,4.08081616323265,4.44444444444444,5.26870389884089,4.83870967741935,4.69973890339426,4.10964533837858,3.70644922164566,3.57398141529665,3.47962382445141,3.57387923147301,3.61446508928733,3.6734693877551,3.80753138075314,4.00801603206413,4.76190476190477,4.25622472866567,4.00320256204964,3.584229390681,3.38362742296836,3.33333333333333,3.27868852459017,3.33555703802535,3.33444481493831,3.410705857237,3.38983050847458,3.48498849812305,4.00320256204964,3.57270453733476,3.35570469798657,3.35483870967742,3.16205533596838,3.10474585711861,3.10077519379846,3.10830500242837,3.1578947368421,3.12695434646654,3.17460317460317,3.24713902319463,3.59976195161282,3.26884589726484,3.03214069132808,3.03122158229766,2.94985250737463,2.99778184401917,2.95147573786894,2.94117647058824,3.0304866961634,2.97999148573861,2.94290759270159,2.94290759270159,3.17460317460317,3.0778701138812,3.00052051856579
47,"Pennsylvania",6,4.34782608695652,4.17465596330275,4.14908078523558,4.59136822773186,4.35161009573543,4.34782608695652,4.09044432050567,4,3.90117035110533,3.93461564148801,4.08673894912427,4.16666666666666,4.16438356164384,4.17014178482068,4.39185752292838,4.76190476190477,4.39130434782609,4.11109084374011,4.0016006402561,3.88461538461539,3.85542168674698,3.99122807017543,4.00266844563042,4.07894736842105,4.00320256204964,4.04,4.04448938321537,4.54545454545454,4.34782608695652,4.06666666666666,3.89105058365758,3.84763370527126,3.84763370527126,3.84763370527126,3.94026191133147,4.00320256204964,3.97379912663756,4,4.10189752093174,4.58903252710592,4.34971726837755,4.18246829282174,3.85067926108476,3.71747211895911,3.70425248184916,3.70644922164566,3.79746835443038,3.84763370527126,3.76323068412318,3.81132075471698,3.84911470361817,4.42152045564143,4.13793103448276,4.12529411764706,3.77777777777778,3.57142857142857,3.61591000401768,3.61549582277048,3.70644922164566,3.79541469211483,3.7721324095458,3.70644922164566,3.77777777777778,4.31827338129496,4.00296515937731,3.84763370527126,3.63636363636364,3.57439733998337,3.5462574816741,3.584229390681,3.63503293486216,3.70644922164566,3.5778175313059,3.57270453733476,3.77777777777778,4.0016006402561,3.84763370527126,3.70644922164566,3.4536350537696,3.43354792560801,3.36842105263158,3.42372881355932,3.5483870967742,3.63636363636364,3.50877192982456,3.4494653328734,3.57270453733476,3.84911470361817,3.61489341313192,3.54358336786849
44,"Ohio",7,5.0251256281407,4.91579528334253,5,5.66037735849056,5.55555555555556,5.60224179343475,5.19294902334445,4.76190476190477,4.49954086317723,4.41176470588235,4.5475216007276,4.5477513895907,4.76190476190477,4.71571906354515,4.9397950978726,5.45652964714441,5.06329113924051,4.76644423260247,4.4124136856861,4.25531914893616,4.15704387990762,4.16,4.17014178482068,4.17014178482068,4.27098674521354,4.37361008154188,4.54959053685169,5.36450895129507,5.29100529100529,5.13392857142857,4.87433641459702,4.36170212765957,4.24920207668398,4.2411309682582,4.18468809023223,4.2602512671455,4.32692307692307,4.4543429844098,4.67111534795043,5.42168674698795,5.04038824832259,4.76760432902417,4.29947380462137,4.04,3.8964458395738,3.85356454720617,3.90821082825386,3.84911470361817,3.91025641025641,4.04040404040404,4.34021340584188,4.95238095238095,4.45859872611465,4.17014178482068,3.97489539748954,3.84615384615384,3.84615384615384,3.84712783849903,3.84911470361817,3.84985563041386,3.89695195855225,3.89083421631392,4.00320256204964,4.59090909090909,4.19867332483182,4.11240575736807,3.875,3.74685686537528,3.70644922164566,3.70644922164566,3.63855421686747,3.77518758803976,3.84615384615384,3.9080459770115,3.98351648351648,4.48529411764705,4.06937958639093,3.84615384615384,3.77777777777778,3.69477911646586,3.65245511126141,3.61259499115151,3.584229390681,3.6144578313253,3.57398141529665,3.63636363636364,3.77777777777778,4.17513001637456,3.94230769230769,3.8630377524144
30,"Michigan",8,7.16845878136201,6.97999069334574,7.14796283059328,8.03680981595092,8.00640512409928,8.34028356964137,7.69822940723633,7.11781293940331,6.66666666666667,6.25390869293309,6.26959247648903,6.25782227784731,6.60660734214443,6.67556742323098,6.94182222537677,7.84615384615385,7.27713765918738,7.07806460999323,6.25782227784731,6.17128463476071,5.88928150765606,5.88928150765606,6.00000000000001,5.91715976331361,5.91567023285084,5.88235294117647,6.25782227784731,7.15307582260372,7.0203998368013,6.67556742323098,6.25782227784731,5.83819849874896,5.66037735849056,5.20208083233293,5.26315789473685,5.17529215358932,5.12820512820513,5.26870389884089,5.55864369093941,6.67556742323098,6.54205607476636,6.12315907573885,5.5567903978662,4.80952380952381,4.44642063139173,4.34782608695652,4.36571045040707,4.35161009573543,4.37319476473924,4.35161009573543,4.6242774566474,5.0251256281407,4.96707641938141,4.89795918367347,4.36170212765957,4.16840350145894,4.17014178482068,4.17014178482068,4.2016806722689,4.14588747439827,4.16840350145894,4.17014178482068,4.16840350145894,4.88,4.44642063139173,4.54545454545454,4.44444444444444,4.04323458767014,4.0016006402561,4.00801603206413,4.00296515937731,4.0016006402561,4.00320256204964,4,4.13564929693961,4.44444444444444,4.16666666666666,4.01603212851406,3.84985563041386,4,3.80952380952381,3.84701696288685,3.84674565317741,3.74963906099608,3.76692171865803,3.71120002544938,3.81818181818182,4.11764848361539,4.00180082037818,3.92310710082385
16,"Georgia",9,6.06060606060606,5.84905660377358,5.88928150765606,6.45161290322581,6.26048079372678,6.40727796484793,6.1744966442953,5.73065902578796,5.60747663551402,5.64102564102564,5.71428571428572,5.56173526140156,5.71428571428572,5.85325067297496,5.89964330235371,6.39122014202711,5.88466065123577,5.57103064066853,5.26592943654555,5.09525476273813,5,5.005005005005,4.76758045292014,4.9168166611545,4.77983937967322,4.82683634373289,4.92845786963434,5.28559131774205,5.0125313283208,5,4.76644423260247,4.41176470588235,4.35634958590482,4.25149700598802,4.25531914893616,4.16666666666666,4.17536534446764,4.16840350145894,4.34971726837755,5,4.6120826709062,4.09920082807386,4.00320256204964,3.75939849624061,3.69393139841688,3.53459406090985,3.64298724954463,3.50877192982456,3.57280557257136,3.63636363636364,3.70919881305638,4.04040404040404,3.84763370527126,3.70370370370371,3.5483870967742,3.50877192982456,3.34448160535117,3.27176781002638,3.24301381177443,3.30645161290323,3.33388898149691,3.29745952279086,3.35638744563622,3.61489336064587,3.42281879194631,3.33333333333333,3.22841000807103,3.09090909090909,3.02066772655007,3.03214069132808,2.95857988165681,3.04287516968298,3.06356925762608,3.14465408805031,3.125,3.22684737011939,3.17460317460317,3.03214069132808,2.85795941697627,2.81858252507617,2.80898876404494,2.77750771454903,2.77777777777778,2.73775216138329,2.80561122244489,2.85714285714286,2.83286118980169,2.77777777777778,2.96610741769194,2.76881286222384
36,"North Carolina",10,4.76644423260247,4.54545454545454,4.46179590116272,5.00250125062531,4.85436893203883,4.54959053685169,4.36174469787916,4.16840350145894,4.0177674625495,4.11240575736807,4.16666666666666,4.16840350145894,4.30143381127043,4.17963539350823,4.35161009573543,4.58091618323665,4.38356164383562,4.19806243272336,3.99039903990399,3.92592592592592,3.8942479456949,3.94078415798195,4.01606425702812,4.00320256204964,3.94736842105263,4.0013265937709,4.16666666666666,4.47926366630198,4.43037974683544,4.1095890410959,3.954802259887,3.70644922164566,3.64254429295923,3.63636363636364,3.64963503649635,3.70507595405706,3.62318840579711,3.63232023721275,3.84615384615384,4.3010752688172,4,3.82765531062125,3.50877192982456,3.35570469798657,3.33333333333333,3.38983050847458,3.41666666666667,3.33518621456365,3.37335620354489,3.42857142857143,3.48568738457917,3.70644922164566,3.57270453733476,3.47826086956522,3.30383595820989,3.22788896061975,3.22632682690757,3.21879077859939,3.22684737011939,3.15590277777778,3.10995970063327,3.2258064516129,3.13364869640867,3.51724137931034,3.29749103942653,3.33333333333333,3.1283322214442,3.0061753409527,2.98197659059418,3.030670384289,3.00375469336671,3.03490136570561,3.03214069132808,3.16126450580232,3.0999030999031,3.19067561627245,3.07858093838786,2.92691963599888,2.85714285714286,2.83771324516006,2.83846961167828,2.85714285714286,2.80930441622654,2.83018867924528,2.80555555555555,2.83018867924528,2.71739130434783,2.80561122244489,2.79888145461261,2.79071651342703
